"","city","city_mis"
"1","Albany",0.303000968054211
"2","Amarillo",0.179883945841393
"3","Anchorage",0.170068027210884
"4","Atlanta",0.256286266924565
"5","Atlantic City",0.207930367504836
"6","Austin",0.126815101645692
"7","Baker",0.229873908826382
"8","Baltimore",0.203094777562863
"9","Bangor",0.290416263310745
"10","Birmingham",0.197292069632495
"11","Bismarck",0.286964980544747
"12","Boise",0.227272727272727
"13","Boston",0.223404255319149
"14","Buffalo",0.293036750483559
"15","Carlsbad",0.138565891472868
"16","Charleston",0.314617618586641
"17","Charlotte",0.216634429400387
"18","Cheyenne",0.28944820909971
"19","Chicago",0.272727272727273
"20","Cincinnati",0.198451113262343
"21","Cleveland",0.249272550921435
"22","Columbia",0.204259438528558
"23","Columbus",0.200581395348837
"24","Dallas",0.132495164410058
"25","Denver",0.153771760154739
"26","Des Moines",0.295938104448743
"27","Detroit",0.202323330106486
"28","Dover",0.206963249516441
"29","Dubuque",0.214700193423598
"30","Duluth",0.312379110251451
"31","Eastport",0.233170731707317
"32","El Paso",0.229206963249516
"33","Eugene",0.173114119922631
"34","Fargo",0.323957322987391
"35","Flagstaff",0.151984511132623
"36","Fresno",0.0851063829787234
"37","Garden City",0.203488372093023
"38","Grand Junction",0.238878143133462
"39","Grand Rapids",0.25531914893617
"40","Harve",0.261121856866538
"41","Helena",0.212765957446809
"42","Honolulu",0.377799415774099
"43","Hoquiam",0.160541586073501
"44","Hot Springs",0.145772594752187
"45","Idaho Falls",0.263056092843327
"46","Indianapolis",0.24468085106383
"47","Jackson",0.169245647969052
"48","Jacksonville",0.179883945841393
"49","Kansas City",0.12862669245648
"50","Key West",0.328820116054159
"51","Klamath Falls",0.177949709864603
"52","Knoxville",0.242248062015504
"53","Lander",0.238603297769156
"54","Las Vegas",0.0831721470019342
"55","Lewiston",0.227737226277372
"56","Lincoln",0.223620522749274
"57","Los Angeles",0.0705996131528046
"58","Louisville",0.254352030947776
"59","Manchester",0.223404255319149
"60","Memphis",0.203094777562863
"61","Miami",0.368471953578337
"62","Milwaukee",0.29110251450677
"63","Minneapolis",0.279497098646035
"64","Mobile",0.164569215876089
"65","Montgomery",0.154368932038835
"66","Montpelier",0.268858800773694
"67","Nashville",0.209864603481625
"68","Needles",0.0891472868217054
"69","New Haven",0.187015503875969
"70","New Orleans",0.214700193423598
"71","New York",0.195736434108527
"72","Nogales",0.136363636363636
"73","North Platte",0.266472868217054
"74","Oklahoma City",0.142166344294004
"75","Philadelphia",0.226305609284333
"76","Phoenix",0.135396518375242
"77","Pierre",0.275628626692456
"78","Pittsburgh",0.222437137330754
"79","Portland",0.285299806576402
"80","Providence",0.233075435203095
"81","Provo",0.131910766246363
"82","Raleigh",0.239845261121857
"83","Reno",0.136363636363636
"84","Richfield",0.109708737864078
"85","Richmond",0.184108527131783
"86","Roanoke",0.241779497098646
"87","Sacramento",0.0823643410852713
"88","Salmon",0.206715634837356
"89","Salt Lake City",0.172647914645975
"90","San Antonio",0.140367860600194
"91","San Diego",0.12301013024602
"92","San Francisco",0.0841392649903288
"93","Santa Fe",0.151016456921588
"94","Sault Ste Marie",0.263056092843327
"95","Savannah",0.205029013539652
"96","Scranton",0.283365570599613
"97","Seattle",0.14811229428848
"98","Shreveport",0.157073170731707
"99","Sioux Falls",0.30174081237911
"100","Spokane",0.215667311411992
"101","Springfield",0.340103159252095
"102","St Louis",0.135527589545015
"103","St. George",0.100864553314121
"104","Syracuse",0.266924564796905
"105","Tampa",0.264990328820116
"106","Trinidad",0.269192422731805
"107","Watertown",0.239845261121857
"108","Wichita",0.12536443148688
"109","Wilmington",0.235976789168279
